[     208ms] [WARNING] "shadow*" style props are deprecated. Use "boxShadow". @ http://localhost:10001/index.ts.bundle?platform=web&dev=true&hot=false&lazy=true&transform.engine=hermes&transform.routerRoot=app&unstable_transformProfile=hermes-stable:19705
[     216ms] [WARNING] [expo-av]: Expo AV has been deprecated and will be removed in SDK 54. Use the `expo-audio` and `expo-video` packages to replace the required functionality. @ http://localhost:10001/index.ts.bundle?platform=web&dev=true&hot=false&lazy=true&transform.engine=hermes&transform.routerRoot=app&unstable_transformProfile=hermes-stable:104252
[     944ms] [WARNING] props.pointerEvents is deprecated. Use style.pointerEvents @ http://localhost:10001/index.ts.bundle?platform=web&dev=true&hot=false&lazy=true&transform.engine=hermes&transform.routerRoot=app&unstable_transformProfile=hermes-stable:19705
[ 1310962ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1315976ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1320972ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1325983ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1330983ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1335995ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1340998ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1346009ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1351005ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1356025ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1361018ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1366028ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1371032ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1376039ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1381043ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1386045ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1391048ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1396058ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1401058ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
[ 1406062ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:10001/:0
